katafxfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Gerard Piqué
tikidyfc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Marc-André ter Stegen,Andrés Iniesta-Xavi-Sergio Busquets-Carlos Fernández Luna-Marc-André ter Stegen-Gustavo Cabral-Raúl García-Gaizka Toquero
takaehfc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Jordi Alba,Andrés Iniesta-Xavi-Sergio Busquets-Jonathas-Jordi Alba-Mikel Balenziaga
takaenfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Thomas Vermaelen,Andrés Iniesta-Xavi-Sergio Busquets-Aleksandar Pantić-Mauro-Sebastián Cristóforo-Thomas Vermaelen
takaeyfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Sergi Roberto,Andrés Iniesta-Xavi-Sergio Busquets-David Zurutuza-Sergi Roberto-Éver Banega-Asier Illarramendi
takafgfc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Munir El Haddadi,Andrés Iniesta-Xavi-Sergio Busquets-Àlex Moreno-Abdoul Sissoko-Munir El Haddadi-David Navarro-Damián Suárez-Shkodran Mustafi
tikieyfc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Adriano,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Adriano-Javier Espinosa-Anaitz Arbilla-Rafael Martins
takafsfc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Daniel Alves,Andrés Iniesta-Xavi-Sergio Busquets-Chechu Dorado-Licá-Daniel Alves
tikifrfc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Douglas,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Héctor Rodas-Jeison Murillo-Douglas-Míchel Herrero
tikifsfc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Thomas Vermaelen,Andrés Iniesta-Xavi-Sergio Busquets-Rubén Blanco-Rodrigo De Paul-Thomas Vermaelen
tikifufc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Martín Montoya,Andrés Iniesta-Xavi-Sergio Busquets-Moi-Álex Pérez-Míchel-Iván López-Riki-Martín Montoya
takagkfc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Jordi Alba,Andrés Iniesta-Xavi-Sergio Busquets-Iván López-Jesús Fernández-Jordi Alba
takagmfc,4,10,Andrés Iniesta-Xavi-Sergio Busquets-Thomas Vermaelen,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Abdoulaye Ba-Isaac Cuenca-Thomas Vermaelen-Mané-Michael Krohn-Dehli-Vitolo
takahcfc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Munir El Haddadi,Andrés Iniesta-Xavi-Sergio Busquets-Munir El Haddadi-Paco Alcácer-Alejandro Pozuelo
tikigufc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Martín Montoya,Andrés Iniesta-Xavi-Sergio Busquets-David Vázquez-Cani-Martín Montoya-Ibai Gómez
